gbpaud,gbpdkk,gbpsek
1.8271,8.5038,11.8447
1.8271,8.5032,11.8458
1.8273,8.5029,11.8479
1.8275,8.503,11.8475
1.8273,8.5028,11.8471
1.827,8.5032,11.8475
1.8272,8.5035,11.8464
1.8272,8.504,11.8462
1.8268,8.5036,11.847
1.8265,8.5043,11.8479
1.8265,8.5033,11.8487
1.8263,8.5035,11.8473
1.8262,8.5042,11.8509
1.8261,8.5049,11.8476
1.8258,8.5049,11.8463
1.8256,8.5042,11.8465
1.8254,8.5045,11.846
1.8253,8.5044,11.8473
1.8256,8.504,11.8462
1.8259,8.504,11.8474
1.8257,8.5039,11.8474
1.826,8.5045,11.8474
1.8259,8.504,11.8474
1.8258,8.4996,11.8474
1.8256,8.5,11.8474
1.8254,8.5,11.848
1.8253,8.5,11.8472
1.8255,8.4998,11.8472
1.8253,8.4998,11.8472
1.8254,8.5045,11.8461
1.8255,8.5048,11.846
1.8253,8.5048,11.8461
1.825,8.505,11.8461
1.825,8.5043,11.8459
1.8248,8.5042,11.8449
1.8247,8.504,11.8466
1.8247,8.5041,11.8469
1.8249,8.5041,11.8479
1.8249,8.5038,11.8493
1.8245,8.5044,11.8477
1.8249,8.5042,11.8512
1.825,8.5047,11.8509
1.8253,8.5044,11.8494
1.8256,8.5042,11.8488
1.8256,8.5073,11.8485
1.8261,8.5073,11.8502
1.8258,8.5059,11.8558
1.8267,8.5056,11.8544
1.8269,8.5059,11.8525
1.8275,8.5068,11.8548
1.8268,8.507,11.8568
1.827,8.5065,11.8624
1.8273,8.5051,11.8639
1.828,8.5036,11.8637
1.8282,8.5019,11.8635
1.828,8.5104,11.863
1.8278,8.5098,11.8565
1.8282,8.5087,11.8569
1.828,8.5086,11.8566
1.8281,8.5097,11.8574
1.8287,8.5086,11.858
1.8279,8.5063,11.857
1.828,8.5061,11.8593
1.8287,8.5012,11.8565
1.8307,8.5016,11.8517
1.8307,8.501,11.8538
1.8301,8.5031,11.8477
1.8299,8.5013,11.843
1.8283,8.4964,11.8501
1.8274,8.4954,11.8638
1.8269,8.4921,11.8675
1.8278,8.4897,11.8683
1.829,8.4904,11.8716
1.8289,8.4968,11.874
1.8291,8.5039,11.869
1.8302,8.5056,11.8713
1.8293,8.5087,11.8695
1.8297,8.5125,11.859
1.8296,8.5098,11.8653
1.83,8.5124,11.8616
1.8295,8.5109,11.8633
1.8301,8.51,11.8613
1.8306,8.5094,11.8601
1.8303,8.5114,11.8569
1.83,8.5137,11.86
1.83,8.5132,11.8596
1.8299,8.5129,11.8597
1.8296,8.5101,11.8647
1.8299,8.5082,11.8644
1.8298,8.5071,11.8604
1.8294,8.508,11.8647
1.829,8.5084,11.8571
1.8292,8.5052,11.8487
1.829,8.5043,11.844
1.8287,8.5052,11.8421
1.8288,8.5044,11.8414
1.8288,8.5028,11.8399
1.8282,8.5023,11.8415
1.8279,8.5007,11.8421
1.8272,8.5006,11.841
1.8274,8.5,11.8436
1.8274,8.5014,11.842
1.8271,8.502,11.8391
1.8266,8.5015,11.837
1.8263,8.5004,11.8415
1.8257,8.5001,11.8412
1.8257,8.4985,11.8391
1.8261,8.4974,11.8411
1.8256,8.4977,11.8446
1.826,8.4986,11.8454
1.8262,8.4967,11.8408
1.8262,8.4976,11.8376
1.826,8.499,11.8363
1.8252,8.4985,11.8399
1.8249,8.4962,11.8362
1.825,8.4938,11.8366
1.8247,8.4927,11.8357
1.8247,8.4929,11.8363
1.8249,8.4931,11.8372
1.8253,8.4928,11.8333
1.8254,8.4933,11.8374
1.8256,8.4941,11.8404
1.8264,8.494,11.843
1.8265,8.495,11.8426
1.8269,8.4959,11.8385
1.8263,8.4955,11.8464
1.8269,8.4934,11.8432
1.8272,8.4935,11.8422
1.8277,8.495,11.8423
1.8281,8.4959,11.8449
1.8283,8.4958,11.8457
1.8285,8.4956,11.8466
1.829,8.4955,11.845
1.8291,8.4961,11.8461
1.8293,8.4971,11.842
1.8296,8.4981,11.839
1.8299,8.4999,11.836
1.8288,8.5005,11.8321
1.8285,8.4994,11.8321
1.8286,8.4978,11.8347
1.8281,8.4949,11.8462
1.8292,8.4937,11.8487
1.8291,8.4928,11.8448
1.8292,8.4916,11.8466
1.8298,8.4927,11.8452
1.83,8.4944,11.8433
1.83,8.4945,11.8376
1.8298,8.4966,11.8464
1.8299,8.4963,11.8496
1.8305,8.4949,11.8499
1.8313,8.4935,11.8514
1.8313,8.4954,11.8479
1.8314,8.498,11.8449
1.831,8.4976,11.8559
1.83,8.4977,11.8556
1.8311,8.4956,11.8581
1.831,8.4932,11.8565
1.8311,8.4987,11.8509
1.8308,8.4994,11.8536
1.8308,8.5024,11.8559
1.8305,8.5018,11.8563
1.8312,8.5009,11.8576
1.832,8.5005,11.8583
1.8324,8.499,11.8558
1.8324,8.5008,11.8647
1.832,8.5027,11.8622
1.8328,8.5035,11.8625
1.8326,8.5015,11.8613
1.8324,8.5058,11.8624
1.8325,8.5057,11.8651
1.8324,8.5038,11.8627
1.8327,8.5026,11.861
1.8324,8.5038,11.8629
1.8321,8.504,11.8626
1.8323,8.503,11.8611
1.8322,8.5017,11.8585
1.8318,8.503,11.8606
1.8319,8.5031,11.8575
1.8322,8.5017,11.8581
1.832,8.5001,11.8574
1.8318,8.5017,11.8554
1.8318,8.4992,11.8521
1.8313,8.4993,11.8534
1.831,8.4986,11.8544
1.8308,8.4978,11.8529
1.8306,8.4957,11.8541
1.8304,8.496,11.8547
1.8303,8.4965,11.8561
1.8303,8.4958,11.8572
1.8305,8.496,11.8614
1.8306,8.4961,11.8629
1.8307,8.4967,11.8637
1.8311,8.498,11.8666
1.8318,8.4984,11.8658
1.8321,8.4997,11.8681
1.8321,8.4999,11.8674
1.8322,8.5009,11.8669
1.8322,8.5002,11.8666
1.8319,8.4998,11.8655
1.8319,8.4995,11.8657
1.8318,8.4987,11.8674
1.8321,8.4985,11.8747
1.8324,8.4978,11.8736
1.8329,8.4985,11.8738
1.833,8.4983,11.8755
1.8334,8.5029,11.8784
